127.0.0.1 - - [05/Oct/2017:21:34:34 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:04 +0800] "GET /app-web-console/ HTTP/1.1" 200 9048
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:04 +0800] "GET /app-web-console/static/themes/default1/easyui.css HTTP/1.1" 200 58597
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:04 +0800] "GET /app-web-console/static/js/jquery.easyui.min.js HTTP/1.1" 200 389242
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:04 +0800] "GET /app-web-console/static/js/jquery.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:04 +0800] "GET /app-web-console/static/themes/icon1.css HTTP/1.1" 200 2506
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:04 +0800] "GET /app-web-console/static/js/easyui-lang-zh_CN.js HTTP/1.1" 200 2487
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:04 +0800] "GET /app-web-console/static/css/default.css HTTP/1.1" 200 2491
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:04 +0800] "GET /app-web-console/static/js/outlook2.js HTTP/1.1" 200 4616
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:05 +0800] "GET /app-web-console/ HTTP/1.1" 200 8828
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:05 +0800] "GET /app-web-console/static/themes/icons/ok.png HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:05 +0800] "GET /app-web-console/static/themes/default1/images/tabs_icons.png HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:05 +0800] "GET /app-web-console/static/themes/default1/images/blank.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:05 +0800] "GET /app-web-console/static/themes/icons/cancel.png HTTP/1.1" 200 1133
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:05 +0800] "GET /app-web-console/static/themes/default1/images/layout_arrows.png HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:05 +0800] "GET /app-web-console/static/themes/default1/images/panel_tools.png HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:05 +0800] "GET /app-web-console/static/themes/default1/images/accordion_arrows.png HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:05 +0800] "GET /app-web-console/static/images/tabicons.png HTTP/1.1" 200 298830
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:05 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:05 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:14 +0800] "GET /app-web-console/sysUser/toList.html;jsessionid=CD67C90B182C65A818B09234DDF9323B HTTP/1.1" 200 7096
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:14 +0800] "GET /app-web-console/static/css/ztree/zTreeStyle/zTreeStyle.css HTTP/1.1" 200 6223
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:14 +0800] "GET /app-web-console/static/js/ztree/jquery.ztree.excheck.min.js HTTP/1.1" 200 10974
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:14 +0800] "GET /app-web-console/view/sysUser/sysUser.js.jsp HTTP/1.1" 200 4912
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:14 +0800] "GET /app-web-console/static/my97/WdatePicker.js HTTP/1.1" 200 10235
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:14 +0800] "GET /app-web-console/static/js/ztree/jquery.ztree.core.min.js HTTP/1.1" 200 31981
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:14 +0800] "GET /app-web-console/static/my97/skin/WdatePicker.css HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [05/Oct/2017:21:35:14 +0800] "GET /app-web-console/static/themes/icons/edit_remove.png HTTP/1.1" 200 625
